iterator,x,y,z
1.0,-1.4199999570846558,1.2414034245011862e-07,0.0
1.0,-1.4199848175048828,-0.006565064657479525,0.0
1.0,-1.4199392795562744,-0.013130112551152706,0.0
1.0,-1.4198633432388306,-0.01969487965106964,0.0
1.0,-1.4197571277618408,-0.026259226724505424,0.0
1.0,-1.4216201305389404,-0.03286924585700035,0.0
1.0,-1.4214529991149902,-0.03944157063961029,0.0
1.0,-1.4252532720565796,-0.04614248871803284,0.0
1.0,-1.4250247478485107,-0.0527314692735672,0.0
1.0,-1.4227674007415771,-0.059236131608486176,0.0
1.0,-1.4184825420379639,-0.06562861055135727,0.0
1.0,-1.4181640148162842,-0.07218608260154724,0.0
1.0,-1.4198120832443237,-0.07885292172431946,0.0
1.0,-1.4194324016571045,-0.08541639894247055,0.0
1.0,-1.4190223217010498,-0.0919780507683754,0.0
1.0,-1.4185818433761597,-0.09853773564100266,0.0
1.0,-1.4181110858917236,-0.10509531199932098,0.0
1.0,-1.4196038246154785,-0.1118076741695404,0.0
1.0,-1.4190717935562134,-0.11836984008550644,0.0
1.0,-1.4185093641281128,-0.12492947280406952,0.0
1.0,-1.415925145149231,-0.13130176067352295,0.0
1.0,-1.4153029918670654,-0.1378467082977295,0.0
1.0,-1.4166401624679565,-0.1445917785167694,0.0
1.0,-1.4159564971923828,-0.15113988518714905,0.0
1.0,-1.417230248451233,-0.15790623426437378,0.0
1.0,-1.4184716939926147,-0.16468758881092072,0.0
1.0,-1.417695164680481,-0.17124395072460175,0.0
1.0,-1.4168882369995117,-0.1777966469526291,0.0
1.0,-1.4160510301589966,-0.184345543384552,0.0
1.0,-1.415183663368225,-0.19089050590991974,0.0
1.0,-1.4142858982086182,-0.19743138551712036,0.0
1.0,-1.4153375625610352,-0.20425371825695038,0.0
1.0,-1.414378046989441,-0.21079516410827637,0.0
1.0,-1.4133883714675903,-0.21733210980892181,0.0
1.0,-1.4123684167861938,-0.22386440634727478,0.0
1.0,-1.4132922887802124,-0.23071415722370148,0.0
1.0,-1.4141827821731567,-0.23757721483707428,0.0
1.0,-1.4130693674087524,-0.24411296844482422,0.0
1.0,-1.413894772529602,-0.2509930729866028,0.0
1.0,-1.4127192497253418,-0.25752735137939453,0.0
1.0,-1.4115134477615356,-0.26405614614486694,0.0
1.0,-1.4122416973114014,-0.2709560990333557,0.0
1.0,-1.4109739065170288,-0.2774825394153595,0.0
1.0,-1.4116365909576416,-0.28439804911613464,0.0
1.0,-1.410306692123413,-0.29092150926589966,0.0
1.0,-1.4109033346176147,-0.29785189032554626,0.0
1.0,-1.4095112085342407,-0.30437183380126953,0.0
1.0,-1.4080889225006104,-0.3108852803707123,0.0
1.0,-1.4085874557495117,-0.3178322911262512,0.0
1.0,-1.4071029424667358,-0.3243412971496582,0.0
1.0,-1.4094818830490112,-0.33175987005233765,0.0
1.0,-1.407932996749878,-0.3382728695869446,0.0
1.0,-1.4102389812469482,-0.34573110938072205,0.0
1.0,-1.4086254835128784,-0.3522474765777588,0.0
1.0,-1.4089198112487793,-0.3592504560947418,0.0
1.0,-1.409179449081421,-0.36626365780830383,0.0
1.0,-1.4074710607528687,-0.3727749288082123,0.0
1.0,-1.4076634645462036,-0.3797991871833801,0.0
1.0,-1.4058924913406372,-0.38630327582359314,0.0
1.0,-1.407943606376648,-0.3938767611980438,0.0
1.0,-1.4061075448989868,-0.40038201212882996,0.0
1.0,-1.4042413234710693,-0.40687867999076843,0.0
1.0,-1.4061819314956665,-0.41449761390686035,0.0
1.0,-1.4042505025863647,-0.42099449038505554,0.0
1.0,-1.4061152935028076,-0.42864876985549927,0.0
1.0,-1.4079391956329346,-0.4363292455673218,0.0
1.0,-1.4059067964553833,-0.4428339898586273,0.0
1.0,-1.4057492017745972,-0.44993895292282104,0.0
1.0,-1.4036539793014526,-0.4564334452152252,0.0
1.0,-1.4053269624710083,-0.46417272090911865,0.0
1.0,-1.4031658172607422,-0.4706651270389557,0.0
1.0,-1.4028680324554443,-0.47779223322868347,0.0
1.0,-1.4044243097305298,-0.485580176115036,0.0
1.0,-1.402164340019226,-0.49206817150115967,0.0
1.0,-1.4036425352096558,-0.499887615442276,0.0
1.0,-1.4013164043426514,-0.5063718557357788,0.0
1.0,-1.400838017463684,-0.5135335922241211,0.0
1.0,-1.402198076248169,-0.5213988423347473,0.0
1.0,-1.3997724056243896,-0.5278761982917786,0.0
1.0,-1.4029210805892944,-0.5364852547645569,0.0
1.0,-1.400425672531128,-0.5429657697677612,0.0
1.0,-1.401623249053955,-0.5508978962898254,0.0
1.0,-1.4027771949768066,-0.5588526129722595,0.0
1.0,-1.4001784324645996,-0.5653321743011475,0.0
1.0,-1.4012519121170044,-0.5733144283294678,0.0
1.0,-1.3985862731933594,-0.5797867774963379,0.0
1.0,-1.39957857131958,-0.587795615196228,0.0
1.0,-1.396846055984497,-0.5942600965499878,0.0
1.0,-1.3977570533752441,-0.6022948026657104,0.0
1.0,-1.4004566669464111,-0.6111505031585693,0.0
1.0,-1.3976161479949951,-0.6176188588142395,0.0
1.0,-1.4002225399017334,-0.6265245079994202,0.0
1.0,-1.3973109722137451,-0.6329915523529053,0.0
1.0,-1.3980052471160889,-0.6411124467849731,0.0
1.0,-1.3950262069702148,-0.6475691199302673,0.0
1.0,-1.397447943687439,-0.6565633416175842,0.0
1.0,-1.3998160362243652,-0.665593683719635,0.0
1.0,-1.396723747253418,-0.6720584630966187,0.0
1.0,-1.3989962339401245,-0.681135356426239,0.0
1.0,-1.3958321809768677,-0.6875961422920227,0.0
1.0,-1.3980083465576172,-0.6967185139656067,0.0
1.0,-1.3983439207077026,-0.7049752473831177,0.0
1.0,-1.3950695991516113,-0.7114328145980835,0.0
1.0,-1.3970979452133179,-0.720625638961792,0.0
1.0,-1.3937513828277588,-0.7270772457122803,0.0
1.0,-1.395681619644165,-0.7363129258155823,0.0
1.0,-1.397556185722351,-0.7455819845199585,0.0
1.0,-1.3940942287445068,-0.7520354390144348,0.0
1.0,-1.3976255655288696,-0.7623035311698914,0.0
1.0,-1.394086241722107,-0.7687571048736572,0.0
1.0,-1.395757794380188,-0.7781158685684204,0.0
1.0,-1.3921453952789307,-0.7845606803894043,0.0
1.0,-1.3937164545059204,-0.7939585447311401,0.0
1.0,-1.3952305316925049,-0.8033877611160278,0.0
1.0,-1.3915011882781982,-0.809829831123352,0.0
1.0,-1.3946378231048584,-0.8203105330467224,0.0
1.0,-1.3908302783966064,-0.8267497420310974,0.0
1.0,-1.3921363353729248,-0.8362607955932617,0.0
1.0,-1.3933842182159424,-0.8458016514778137,0.0
1.0,-1.3894588947296143,-0.8522347211837769,0.0
1.0,-1.3940038681030273,-0.8639174103736877,0.0
1.0,-1.389994740486145,-0.8703531622886658,0.0
1.0,-1.391026496887207,-0.8799780607223511,0.0
1.0,-1.3869432210922241,-0.8863998651504517,0.0
1.0,-1.3895511627197266,-0.8971419930458069,0.0
1.0,-1.3920891284942627,-0.9079270958900452,0.0
1.0,-1.3878766298294067,-0.9143534898757935,0.0
1.0,-1.3902944326400757,-0.9251924753189087,0.0
1.0,-1.3860020637512207,-0.9316104650497437,0.0
1.0,-1.3882989883422852,-0.942501962184906,0.0
1.0,-1.3905246257781982,-0.9534345269203186,0.0
1.0,-1.3861016035079956,-0.9598532319068909,0.0
1.0,-1.3882049322128296,-0.9708362817764282,0.0
1.0,-1.3837015628814697,-0.9772440791130066,0.0
1.0,-1.3873101472854614,-0.9894375801086426,0.0
1.0,-1.382720708847046,-0.9958410263061523,0.0
1.0,-1.3845717906951904,-1.006928563117981,0.0
1.0,-1.387961745262146,-1.019237995147705,0.0
1.0,-1.3832346200942993,-1.0256441831588745,0.0
1.0,-1.380078911781311,-1.0332270860671997,0.0
1.0,-1.3752871751785278,-1.039596676826477,0.0
1.0,-1.3593369722366333,-1.0374503135681152,0.0
1.0,-1.3402677774429321,-1.032737374305725,0.0
1.0,-1.335478663444519,-1.038922905921936,0.0
1.0,-1.3180779218673706,-1.0352035760879517,0.0
1.0,-1.3132777214050293,-1.0412864685058594,0.0
1.0,-1.2959582805633545,-1.0373485088348389,0.0
1.0,-1.2771480083465576,-1.0320159196853638,0.0
1.0,-1.2723629474639893,-1.0379096269607544,0.0
1.0,-1.2536554336547852,-1.0323389768600464,0.0
1.0,-1.2488691806793213,-1.0381240844726562,0.0
1.0,-1.2333316802978516,-1.0348880290985107,0.0
1.0,-1.2178508043289185,-1.031530499458313,0.0
1.0,-1.2130687236785889,-1.0371500253677368,0.0
1.0,-1.1976618766784668,-1.0336005687713623,0.0
1.0,-1.1928703784942627,-1.0391267538070679,0.0
1.0,-1.1760375499725342,-1.0340656042099,0.0
1.0,-1.1607732772827148,-1.0301988124847412,0.0
1.0,-1.1559978723526,-1.0355544090270996,0.0
1.0,-1.1422966718673706,-1.0328398942947388,0.0
1.0,-1.1375092267990112,-1.0381100177764893,0.0
1.0,-1.1224004030227661,-1.0338730812072754,0.0
1.0,-1.108819842338562,-1.0308805704116821,0.0
1.0,-1.1040418148040771,-1.0359959602355957,0.0
1.0,-1.0890755653381348,-1.03146231174469,0.0
1.0,-1.0842950344085693,-1.0364865064620972,0.0
1.0,-1.0694161653518677,-1.0317678451538086,0.0
1.0,-1.056037187576294,-1.0283294916152954,0.0
1.0,-1.0512715578079224,-1.033200979232788,0.0
1.0,-1.0379638671875,-1.0295994281768799,0.0
1.0,-1.03319251537323,-1.0343873500823975,0.0
1.0,-1.0199581384658813,-1.0306237936019897,0.0
1.0,-1.0151822566986084,-1.0353285074234009,0.0
1.0,-1.0048102140426636,-1.0342729091644287,0.0
1.0,-0.9916956424713135,-1.0302618741989136,0.0
1.0,-0.9869217872619629,-1.0348358154296875,0.0
1.0,-0.973885178565979,-1.030665636062622,0.0
1.0,-0.9636421203613281,-1.0293171405792236,0.0
1.0,-0.95887291431427,-1.0337613821029663,0.0
1.0,-0.9459633827209473,-1.0293480157852173,0.0
1.0,-0.9411942362785339,-1.0337104797363281,0.0
1.0,-0.9297067523002625,-1.0306257009506226,0.0
1.0,-0.918268084526062,-1.0274569988250732,0.0
1.0,-0.9135079383850098,-1.0316914319992065,0.0
1.0,-0.9021337628364563,-1.0283864736557007,0.0
1.0,-0.8973695039749146,-1.0325464010238647,0.0
1.0,-0.8860613107681274,-1.0291061401367188,0.0
1.0,-0.8761021494865417,-1.0271052122116089,0.0
1.0,-0.8713441491127014,-1.0311447381973267,0.0
1.0,-0.8614321947097778,-1.0290279388427734,0.0
1.0,-0.8566654324531555,-1.0329996347427368,0.0
1.0,-0.8468020558357239,-1.030767798423767,0.0
