iterator,x,y,z
1.0,-1.4220000505447388,1.2431519280653447e-07,0.0
1.0,-1.4199848175048828,-0.006565064657479525,0.0
1.0,-1.4199392795562744,-0.013130112551152706,0.0
1.0,-1.4198633432388306,-0.01969487965106964,0.0
1.0,-1.4197571277618408,-0.026259226724505424,0.0
1.0,-1.4196205139160156,-0.03282301127910614,0.0
1.0,-1.4194536209106445,-0.039386097341775894,0.0
1.0,-1.4212554693222046,-0.046013057231903076,0.0
1.0,-1.4210275411605835,-0.05258355662226677,0.0
1.0,-1.420769214630127,-0.059152934700250626,0.0
1.0,-1.420480489730835,-0.0657210499048233,0.0
1.0,-1.420161485671997,-0.07228775322437286,0.0
1.0,-1.4198120832443237,-0.07885292172431946,0.0
1.0,-1.4194324016571045,-0.08541639894247055,0.0
1.0,-1.4190223217010498,-0.0919780507683754,0.0
1.0,-1.4185818433761597,-0.09853773564100266,0.0
1.0,-1.4201055765151978,-0.10524312406778336,0.0
1.0,-1.4196038246154785,-0.1118076741695404,0.0
1.0,-1.4190717935562134,-0.11836984008550644,0.0
1.0,-1.4185093641281128,-0.12492947280406952,0.0
1.0,-1.4179165363311768,-0.1314864307641983,0.0
1.0,-1.4153029918670654,-0.1378467082977295,0.0
1.0,-1.414650559425354,-0.14438870549201965,0.0
1.0,-1.4159564971923828,-0.15113988518714905,0.0
1.0,-1.4152425527572632,-0.15768477320671082,0.0
1.0,-1.4144984483718872,-0.16422627866268158,0.0
1.0,-1.4157096147537231,-0.17100411653518677,0.0
1.0,-1.4149038791656494,-0.1775476336479187,0.0
1.0,-1.4160510301589966,-0.184345543384552,0.0
1.0,-1.415183663368225,-0.19089050590991974,0.0
1.0,-1.416266679763794,-0.1977079063653946,0.0
1.0,-1.4153375625610352,-0.20425371825695038,0.0
1.0,-1.414378046989441,-0.21079516410827637,0.0
1.0,-1.4133883714675903,-0.21733210980892181,0.0
1.0,-1.4143438339233398,-0.2241775244474411,0.0
1.0,-1.4152661561965942,-0.23103637993335724,0.0
1.0,-1.4141827821731567,-0.23757721483707428,0.0
1.0,-1.4130693674087524,-0.24411296844482422,0.0
1.0,-1.4119255542755127,-0.2506435215473175,0.0
1.0,-1.4127192497253418,-0.25752735137939453,0.0
1.0,-1.4115134477615356,-0.26405614614486694,0.0
1.0,-1.4122416973114014,-0.2709560990333557,0.0
1.0,-1.4129364490509033,-0.27786847949028015,0.0
1.0,-1.4116365909576416,-0.28439804911613464,0.0
1.0,-1.410306692123413,-0.29092150926589966,0.0
1.0,-1.4089465141296387,-0.2974388003349304,0.0
1.0,-1.4095112085342407,-0.30437183380126953,0.0
1.0,-1.4119948148727417,-0.31174764037132263,0.0
1.0,-1.4105384349822998,-0.31827250123023987,0.0
1.0,-1.4110007286071777,-0.32523974776268005,0.0
1.0,-1.4094818830490112,-0.33175987005233765,0.0
1.0,-1.4118224382400513,-0.33920735120773315,0.0
1.0,-1.4102389812469482,-0.34573110938072205,0.0
1.0,-1.4086254835128784,-0.3522474765777588,0.0
1.0,-1.4089198112487793,-0.3592504560947418,0.0
1.0,-1.4072438478469849,-0.36576056480407715,0.0
1.0,-1.4094043970108032,-0.3732869625091553,0.0
1.0,-1.4076634645462036,-0.3797991871833801,0.0
1.0,-1.4078210592269897,-0.38683319091796875,0.0
1.0,-1.407943606376648,-0.3938767611980438,0.0
1.0,-1.4061075448989868,-0.40038201212882996,0.0
1.0,-1.4061622619628906,-0.40743526816368103,0.0
1.0,-1.4042636156082153,-0.4139321446418762,0.0
1.0,-1.4061663150787354,-0.4215688407421112,0.0
