iterator,x,y,z
1.0,-1.4220000505447388,1.2431519280653447e-07,0.0
1.0,-1.4199848175048828,-0.006565064657479525,0.0
1.0,-1.4199392795562744,-0.013130112551152706,0.0
1.0,-1.4198633432388306,-0.01969487965106964,0.0
1.0,-1.4197571277618408,-0.026259226724505424,0.0
1.0,-1.4196205139160156,-0.03282301127910614,0.0
1.0,-1.417454481124878,-0.0393306240439415,0.0
1.0,-1.4172574281692505,-0.04588362202048302,0.0
1.0,-1.4190287590026855,-0.052509598433971405,0.0
1.0,-1.4187707901000977,-0.05906973406672478,0.0
1.0,-1.420480489730835,-0.0657210499048233,0.0
1.0,-1.420161485671997,-0.07228775322437286,0.0
1.0,-1.4198120832443237,-0.07885292172431946,0.0
1.0,-1.4194324016571045,-0.08541639894247055,0.0
1.0,-1.4190223217010498,-0.0919780507683754,0.0
1.0,-1.4185818433761597,-0.09853773564100266,0.0
1.0,-1.4181110858917236,-0.10509531199932098,0.0
1.0,-1.4176100492477417,-0.11165064573287964,0.0
1.0,-1.4170787334442139,-0.11820358783006668,0.0
1.0,-1.4165170192718506,-0.12475401163101196,0.0
1.0,-1.4179165363311768,-0.1314864307641983,0.0
1.0,-1.4172935485839844,-0.13804058730602264,0.0
1.0,-1.4166401624679565,-0.1445917785167694,0.0
1.0,-1.417945146560669,-0.1513521671295166,0.0
1.0,-1.417230248451233,-0.15790623426437378,0.0
1.0,-1.416485071182251,-0.16445693373680115,0.0
1.0,-1.4157096147537231,-0.17100411653518677,0.0
1.0,-1.4149038791656494,-0.1775476336479187,0.0
1.0,-1.4160510301589966,-0.184345543384552,0.0
1.0,-1.4171656370162964,-0.19115786254405975,0.0
1.0,-1.416266679763794,-0.1977079063653946,0.0
1.0,-1.4153375625610352,-0.20425371825695038,0.0
1.0,-1.4163563251495361,-0.21108999848365784,0.0
1.0,-1.415365219116211,-0.2176360934972763,0.0
1.0,-1.4163191318511963,-0.22449061274528503,0.0
1.0,-1.4152661561965942,-0.23103637993335724,0.0
1.0,-1.4141827821731567,-0.23757721483707428,0.0
1.0,-1.4130693674087524,-0.24411296844482422,0.0
1.0,-1.413894772529602,-0.2509930729866028,0.0
1.0,-1.4127192497253418,-0.25752735137939453,0.0
1.0,-1.4115134477615356,-0.26405614614486694,0.0
1.0,-1.4122416973114014,-0.2709560990333557,0.0
1.0,-1.4109739065170288,-0.2774825394153595,0.0
1.0,-1.4116365909576416,-0.28439804911613464,0.0
1.0,-1.412265419960022,-0.29132556915283203,0.0
1.0,-1.4109033346176147,-0.29785189032554626,0.0
1.0,-1.411466121673584,-0.30479398369789124,0.0
1.0,-1.4100419282913208,-0.31131646037101746,0.0
1.0,-1.4105384349822998,-0.31827250123023987,0.0
1.0,-1.4110007286071777,-0.32523974776268005,0.0
1.0,-1.4094818830490112,-0.33175987005233765,0.0
1.0,-1.4118224382400513,-0.33920735120773315,0.0
1.0,-1.4102389812469482,-0.34573110938072205,0.0
1.0,-1.410565733909607,-0.35273265838623047,0.0
1.0,-1.4089198112487793,-0.3592504560947418,0.0
1.0,-1.4072438478469849,-0.36576056480407715,0.0
1.0,-1.4094043970108032,-0.3732869625091553,0.0
1.0,-1.4076634645462036,-0.3797991871833801,0.0
1.0,-1.4097496271133423,-0.38736310601234436,0.0
1.0,-1.407943606376648,-0.3938767611980438,0.0
1.0,-1.4061075448989868,-0.40038201212882996,0.0
1.0,-1.4080833196640015,-0.407991886138916,0.0
1.0,-1.4061819314956665,-0.41449761390686035,0.0
1.0,-1.408082127571106,-0.42214319109916687,0.0
